strain,Gene_ID,Gene_Name,log2FC,FDR_adj_pvalue
AM140,WBGene00010367,H05L14.2,-0.630141079436059,0.00169083422439154
AM140,WBGene00022425,plst-1,-0.486963933413871,0.00787515497683387
AM140,WBGene00010256,hrg-3,-0.582869645835385,0.0110879492758436
AM140,WBGene00021305,zig-11,-0.355985949635866,0.0223678111323272
AM140,WBGene00015683,C10G8.4,-0.469612328063004,0.0286704990415348
AM140,WBGene00019715,M01G5.1,-0.463936273652535,0.0286704990415348
AM140,WBGene00045394,ZK813.7,-0.458062414084583,0.0286704990415348
AM140,WBGene00016636,perm-2,-0.431404464097389,0.030565791773546
AM140,WBGene00018782,cct-3,-0.407365959449745,0.0320605939282935
AM140,WBGene00022296,xpc-1,-0.31990904238842,0.0320605939282935
AM140,WBGene00009898,dod-23,-0.446725824644229,0.0429129129578648
AM140,WBGene00004438,rpl-25.1,-0.421567872451777,0.0480431170724124
AM140,WBGene00003026,lin-41,-0.378668328986418,0.0480431170724124
AM140,WBGene00018778,F53H1.4,-0.344898369723774,0.0480431170724124
AM140,WBGene00004452,rpl-38,-0.335534475027467,0.0480431170724124
AM140,WBGene00001682,gpc-2,-0.35384165292859,0.0497621423499353
AM140,WBGene00004474,rps-5,-0.333088554082592,0.069060603091521
AM140,WBGene00009895,scl-2,-0.474050083623459,0.0731317281659361
AM140,WBGene00009372,evl-18,-0.449671190127475,0.0732983662573213
AM140,WBGene00017217,F07F6.4,-0.404148774009455,0.0825598804656238
AM140,WBGene00009542,copb-2,-0.377055034102027,0.0825598804656238
AM140,WBGene00012179,W01D2.1,-0.343279171319598,0.0825598804656238
AM140,WBGene00004808,skr-2,-0.337078224918752,0.0825598804656238
AM140,WBGene00004491,rps-22,-0.304815638439515,0.0825598804656238
AM140,WBGene00004476,rps-7,-0.289982200816728,0.0825598804656238
AM140,WBGene00000189,arl-5,-0.395760865139858,0.0849102473865853
AM140,WBGene00003144,max-2,-0.31685527040771,0.092198932329157
AM140,WBGene00021943,Y55F3BR.6,-0.408349957751571,0.0968283686914048
AM140,WBGene00016741,C48B6.3,-0.3979286940663,0.0968283686914048
AM140,WBGene00011915,T22C1.4,-0.385978244380212,0.09919932927376
AM140,WBGene00013674,Y105E8A.14,-0.369492336407843,0.09919932927376
